Primary ID,Number,Metabolite,Super Class,Class,Sub_Class,VIP 1,VIP 2
LivPos_C0011,726,N-acetylneuraminyl-Galactosylceramide,Benzenoids,Indanes,Indanones,0.850948,1.82942
LivGC_C035,1072,Hydroxylamine,Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,0.849971,1.99253
LivPos_C0752,889,DG(34:2),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.849856,2.07635
LivGC_C091,1271,Phosphoric acid _2,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,0.849161,1.04831
LivPos_C0318,97,Octadecanedioic acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.848807,1.71906
LivNeg_C555,271,PS(41:6)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.847368,1.94823
LivPos_C0796,650,sn-glycero-3-phosphoserine_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.847102,1.70476
LivPos_C0006,1188,Retinal__2,Lipids and lipid-like molecules,Prenol lipids,Retinoids,0.847081,1.61229
LivPos_C0813,1179,Carbaprostacyclin-biotinamide,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,0.846812,1.73209
LivPos_C0313,361,PC(34:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.846077,1.01836
LivPos_C0695,1050,PC(38:6)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.844929,1.16849
LivNeg_C546,935,Hydroquinidine_2,Alkaloids and derivatives,Cinchona alkaloids,NA,0.843377,1.03784
LivNeg_C285,1253,PS(42:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.842579,1.64633
LivGC_C030,1143,Ethanolamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,0.840983,1.76941
LivNeg_C019,443,phosphatidylserine(18:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.840432,1.84542
LivNeg_C369,356,Dodecylbenzenesulfonic acid_1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,0.84023,1.38971
LivNeg_C674,1187,PI(38:4)_12,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.838855,1.13418
LivPos_C0223,139,Cholesteryl ester_3,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.838221,1.60495
LivNeg_C311,313,PE(32:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.837259,0.393616
LivNeg_C023,1077,LysoPC(18:2)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.836732,1.48647
LivNeg_C137,1070,Retinal__1,Lipids and lipid-like molecules,Prenol lipids,Retinoids,0.835468,1.74989
LivNeg_C426,848,PS(37:1)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.835001,0.792017
LivNeg_C562,803,15-Methylhexadecasphinganine_1,Organic nitrogen compounds,Organonitrogen compounds,Amines,0.834368,1.91458
LivNeg_C379,336,PE(40:6)_6,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.834079,0.772704
LivPos_C1008,142,LysoPE(24:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.833002,1.25184
LivNeg_C046,196,LysoPC(22:6),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.83237,2.03201
LivPos_C0895,565,D-galactosyl-N-tetracosanoylsphinganine_2,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.83091,2.31792
LivPos_C0559,818,PC(36:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.829344,1.16192
LivPos_C0193,56,PE(36:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.828964,0.528331
LivNeg_C621,933,PI(20:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.825359,1.34258
LivNeg_C459,976,Batzelladine B,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,0.825293,1.08733
LivNeg_C274,1085,PS(37:0)_5,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.824996,0.504777
LivPos_C0388,699,CE(11:1),Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.818512,0.69619
LivPos_C1175,114,PS(36:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.815795,1.17604
LivNeg_C181,264,PS(43:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.813933,0.799681
LivPos_C0501,318,DG(40:7)_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.813399,1.06994
LivPos_C0744,289,DG(38:6),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.812354,1.88611
LivPos_C0014,30,ursodeoxycholic acid,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.811125,1.66915
LivPos_C0567,61,N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,0.810791,1.21085
LivPos_C0303,764,Dihydrorescinnamine,Alkaloids and derivatives,Yohimbine alkaloids,NA,0.810353,0.597064
LivNeg_C479,1200,Eicosatrienoic acid_2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.810312,1.03339
LivNeg_C263,1016,terpenoid,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,0.809854,1.54271
LivPos_C0168,1033,PE(36:2)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.808016,0.400061
LivNeg_C293,807,N-Stearoylsphingosine,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.806149,2.00971
LivPos_C0177,454,DG(34:1),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.805349,0.996054
LivGC_C024,576,Galactose_1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,0.803524,1.79478
LivPos_C0861,513,N-(decanoyl)ethanolamine,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,0.80199,1.29504
LivPos_C0082,1155,PC(40:6)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.799425,0.674044
LivGC_C019,1028,Threitol,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,0.798723,1.89816
LivPos_C0804,1240,Campesterol,Lipids and lipid-like molecules,Steroids and steroid derivatives,Ergostane steroids,0.798105,0.686975
LivPos_C1181,1261,CL(76:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerophosphoglycerols,0.797171,1.37289
LivNeg_C042,25,PC(36:3)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.796543,1.68041
LivPos_C1535,126,Campesteryl elaidate,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.794667,0.417411
LivPos_C0473,365,3-(10-Heptadecenyl)phenol,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,0.79465,2.17092
LivNeg_C589,368,PC(30:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.793955,0.721266
LivNeg_C345,858,PS(37:0)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.793563,1.03864
LivPos_C0382,987,PC(16:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.79329,0.969816
LivPos_C0267,1025,PC(38:6)_6,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.792709,0.669319
LivPos_C0233,146,Dioleoyl-sn-glycerol,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.792031,1.75248
LivNeg_C449,218,PG(42:10),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.79203,2.01702
LivPos_C0872,620,Cer(42:1)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.792025,1.4167
LivNeg_C334,63,Dihydroxy-cholanoic acid_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.791791,0.895912
LivPos_C0401,349,solanesol,Lipids and lipid-like molecules,Prenol lipids,Polyprenols,0.790069,1.73632
LivPos_C1671,296,PA(40:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.789446,1.4867
LivNeg_C415,676,PS(22:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.78852,1.66477
LivNeg_C080,854,PS(39:3)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.78756,0.839787
LivPos_C0184,776,solanine,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,0.786911,1.26976
LivPos_C0375,984,PC(31:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.786754,0.424058
LivNeg_C005,1029,LysoPE(18:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.785971,1.79394
LivPos_C0759,483,PS(31:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.780864,1.33202
LivNeg_C270,111,PI(38:3)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.780753,1.12502
LivNeg_C010,316,PS(37:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.780262,0.742648
LivNeg_C115,35,PC(34:4)_3,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.776295,0.45117
LivNeg_C446,294,PI(37:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.776294,1.20686
LivPos_C0491,258,PA(38:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.775473,1.81949
LivPos_C1119,508,DG(38:3)_1,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.772904,0.992772
LivNeg_C154,1018,Decaprenyl-methoxy-methyl-benzoquinone,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,0.77265,0.515047
LivNeg_C111,908,SM(40:1),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,0.772258,0.8728
LivNeg_C355,692,Cryptoporic acid E,Organic acids and derivatives,Carboxylic acids and derivatives,Hexacarboxylic acids and derivatives,0.769524,1.89159
LivPos_C0581,398,PS(21:0)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.767624,1.8567
LivNeg_C226,400,PS(44:8),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.76751,1.42212
LivPos_C0986,496,Glc-Campesterol(16:3),Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,0.767283,0.757604
LivPos_C1474,639,Cer(37:2)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.766434,1.26197
LivPos_C0911,1046,PC(37:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.765828,1.27359
LivPos_C1254,480,PC(40:3)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.765444,1.22236
LivPos_C0612,895,N-Tetracosenoyl-4-sphingenine_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.76483,1.23973
LivNeg_C397,799,Pimelotide B,,,,0.763652,1.61816
LivPos_C0198,60,LysoPC(20:4)_1,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.761497,1.49876
LivPos_C0017,46,amylin,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.759018,1.93433
LivNeg_C377,1214,PS(42:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.758831,0.467467
LivNeg_C012,1023,LysoPC(18:0)_3,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.758717,0.329426
LivPos_C1005,602,taurocholic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.758238,1.78919
LivNeg_C592,1088,PG(35:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.756114,1.95362
LivPos_C1271,135,9-Hexadecenoylcholine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,0.755798,2.29198
LivPos_C0314,1266,PE(32:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.754624,1.86766
LivGC_C455,377,Serine _2,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.753965,2.18679
LivNeg_C423,986,PI(38:4)_13,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.751737,1.09366
LivPos_C0116,520,N-hydroxy arachidonoyl amine,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,0.751568,1.16084
LivPos_C1850,1096,Adenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,0.751044,1.39584
LivPos_C0466,119,"5beta-Cholane-3alpha,7alpha,24-triol",Lipids and lipid-like molecules,teroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.750301,0.523584
LivPos_C1363,1127,PE(40:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.747796,0.820289
LivNeg_C605,1109,Hyaluronic acid,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,0.74737,1.02276
LivNeg_C183,266,Oleic acid_3,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.745698,1.71192
LivPos_C0596,478,"5,4'-Dimethoxyflavone",Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,0.743958,1.00848
LivNeg_C244,868,Eicosapentaenoic acid_2,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.743879,1.15099
LivPos_C0030,687,PE(35:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.743087,1.2781
LivNeg_C089,823,PS(38:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.741107,1.43534
LivPos_C1002,952,Dioctadecanoyl-3-glycerol,Lipids and lipid-like molecules,Glycerolipids,Glycosylglycerols,0.741006,1.44207
LivPos_C0471,364,Docosahexaenoic acid_8,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.74039,1.39375
LivNeg_C242,551,PS(36:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.738033,0.573465
LivNeg_C561,247,15-Methylhexadecasphinganine_2,Organic nitrogen compounds,Organonitrogen compounds,Amines,0.736839,1.86451
LivPos_C0493,751,PC(40:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.736574,1.38206
LivNeg_C826,1110,Hypoxanthine_1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,0.736192,1.92349
LivNeg_C399,798,Scutigeral,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,0.735411,0.837741
LivNeg_C241,345,PS(37:1)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.73532,1.51957
LivNeg_C517,708,LysoPE(16:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.732562,1.97201
LivPos_C0985,752,PC(36:2)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.73187,1.6729
LivPos_C0825,1095,PE(38:0)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.730135,1.54695
LivPos_C0460,757,DG(46:3),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.729647,1.26376
LivNeg_C775,1091,Isotetrandrine,Organoheterocyclic compounds,Isoquinolines and derivatives,Benzylisoquinolines,0.728013,1.26002
LivPos_C1155,864,PS(37:0)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.725821,1.54848
LivNeg_C068,373,Stearoylglycerophosphoinositol,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.725054,1.31532
LivNeg_C224,42,Cer(43:1),Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.715962,1.53426
LivPos_C0020,924,PC(36:6)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.715794,0.449116
LivPos_C0386,212,GlcCer(40:1)_2,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.714543,1.72263
LivNeg_C158,619,MG(18:2),Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,0.711896,1.65709
LivNeg_C703,1074,PG(38:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.711401,0.666903
LivPos_C0437,999,PE(42:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.711368,1.38189
LivPos_C0757,144,PI(35:2),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.710111,1.82747
LivNeg_C079,1231,PE(38:7)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.708024,0.550585
LivPos_C1273,122,Cer(42:2)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.707106,1.54806
LivNeg_C587,415,PG(39:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.707096,1.15697
LivNeg_C476,519,PI(38:4)_14,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.705038,1.20285
LivPos_C0505,176,"4,5-(methanoxyethano)isolongifol-4-ene",Organoheterocyclic compounds,Naphthopyrans,NA,0.705015,1.92426
LivPos_C1772,564,PE(38:5)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.702214,0.916611
LivNeg_C186,1066,PE(38:7)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.699977,1.50122
LivPos_C0133,28,"3-thiocyanatomethyl-5,5-dimethylbutyrolactone",Organoheterocyclic compounds,Lactones,Gamma butyrolactones,0.697275,1.05693
LivPos_C0036,1220,PS(28:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.696816,1.00901
LivPos_C1040,1273,behenyl erucate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,0.695868,0.849505
LivNeg_C013,535,LysoPC(18:1)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.695823,1.32141
LivNeg_C537,608,Trihydroxy-5b-cholanoic acid_3,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.692695,1.38619
LivNeg_C612,575,3-O-Sulfogalactosylceramide (40:1),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.6926,1.89648
LivNeg_C319,427,PI(38:4)_15,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.692212,1.45248
LivPos_C0984,656,PC(35:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.69115,1.71073
LivPos_C0445,1103,PG(36:0),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.6897,1.23189
LivPos_C1599,402,PE(38:2)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.687271,0.75005
LivPos_C0274,545,PE(44:12),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.687187,1.10922
LivNeg_C011,1076,SM(34:1)_1,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,0.684445,0.796966
LivPos_C0484,829,SM(31:0),Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,0.683431,0.286966
LivPos_C1446,265,Niacinamide_1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,0.68339,1.26331
LivPos_C0876,410,Cohibin C,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,0.679713,1.00034
LivNeg_C531,567,LysoPE(22:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.677877,0.866869
LivNeg_C056,1039,PC(36:5)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.672144,0.438511
LivPos_C0041,1238,LysoPAF(18:1)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.671442,1.27062
LivPos_C0384,1208,LysoPC(18:1)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.669141,0.823513
LivPos_C0002,587,Cholic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.668357,1.27694
LivNeg_C559,325,Sulfogalactosyl-hydroxylignoceroyl-sphingosine,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.667847,0.854028
LivPos_C0209,436,Cer(42:0)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.666551,1.36466
LivPos_C0492,698,Cer(41:1),Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.665296,1.25432
LivPos_C1718,622,Cer(37:2)_2,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.664483,1.15372
LivPos_C0311,638,PE(40:2)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.663982,0.985593
LivPos_C0881,549,Cer(38:1)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.663745,1.51025
LivNeg_C557,459,PE-NMe2(9D5/11D3),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.663239,1.27804
LivPos_C0170,552,PC(36:3)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.662946,0.821963
LivPos_C1001,1248,LysoPC(16:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.66242,0.542579
LivPos_C1775,1252,PE(42:4)_5,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.658021,0.921193
LivPos_C0485,998,PG(36:4)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols,0.65651,1.20527
LivPos_C1246,554,Dioctadecanoyl-sn-glycero-3-phosphoethanolamine,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.655947,2.05245
LivNeg_C600,833,PE(34:4),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.654946,0.543799
LivPos_C1629,911,Hexadecyl-lyso-sn-glycero-3-phosphocholine,Lpids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.653902,1.40168
LivNeg_C410,618,Apo-14'-zeaxanthinal_1,Lipids and lipid-like molecules,Prenol lipids,Sesterterpenoids,0.652733,0.80337
LivPos_C0746,1275,PI(36:4)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.651117,1.38557
LivGC_C097,1086,Phenylalanine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.650915,1.51323
LivNeg_C468,286,PS(38:4)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.650361,1.62034
LivPos_C0486,832,CE(22:5),Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid esters,0.650018,1.7246
LivNeg_C519,585,Stearoyl-sn-glycero-phosphomyo-inositol_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,0.649759,1.70283
LivPos_C0557,872,PC(34:4)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.649247,1.0894
LivNeg_C365,981,PE(38:5)_3,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.648749,0.580215
LivPos_C0056,164,DG(38:7),Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,0.648488,1.36288
LivNeg_C232,428,PS(41:1),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.647635,1.28013
LivPos_C0192,856,PE(40:6)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.639079,0.785074
LivPos_C1137,1245,PS(40:6)_4,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines,0.639002,1.7286
LivPos_C1194,875,LysoPC(20:4)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.638048,1.27127
LivPos_C0731,975,PC(42:9)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.636758,2.23204
LivNeg_C004,1048,Trihydroxy-5b-cholanoic acid_4,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.634389,1.22135
LivNeg_C234,1105,PC(36:2)_2,Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.634324,1.77487
LivNeg_C630,1272,Tauroursodeoxycholic acid_1,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.63324,1.16461
LivPos_C0394,173,Cer(40:2)_1,Lipids and lipid-like molecules,Sphingolipids,Ceramides,0.633144,0.963593
LivPos_C1368,466,PC(32:0)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.632397,1.20941
LivPos_C0513,1012,Oleoylsolamin,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,0.630957,1.13632
LivNeg_C381,732,syringic acid acetate_1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,0.630542,1.72516
LivPos_C0034,446,apelin-12,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",0.628163,1.30147
LivPos_C0738,214,Octacosyl-palmitate,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,0.62735,1.06594
LivPos_C0131,887,Tauroursodeoxycholic acid_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.626943,1.55363
LivNeg_C354,74,PIP(38:5),Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositol phosphates,0.62435,0.766636
LivPos_C0833,287,PC(33:1),Lipids and lipid-like molecule,Glycerophospholipid,Glycerophosphocholines,0.622858,1.39978
LivNeg_C653,754,Trihydroxy-5b-cholanoic acid_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.622628,1.33381
LivNeg_C735,674,Tetracosapentaenoic acid (24:5),Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,0.621828,1.71619
LivNeg_C646,596,Palmitoyl-n-glycero-3-phosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,0.620378,1.36053
LivPos_C0968,811,PA(40:3)_1,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphates,0.619587,0.757931
LivNeg_C299,733,Gnididilatin,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,0.61793,1.00052
LivPos_C0032,958,taurocholic acid_2,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",0.617311,1.49953
LivPos_C1384,112,PE(35:1)_2,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.617005,0.376143
LivPos_C0633,577,sn-glucero-3-phosphoethanolamine_6,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,0.616031,0.605455
LivPos_C0981,572,GlcCer(36:1),Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids,0.615485,1.00677
LivGC_C066,1031,Xanthosine,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,0.613886,1.47773
